start_sec,end_sec,transfer_bytes,transfer_units,bitrate_bps,bitrate_units,jitter_ms,lost_packets,total_packets,loss_percent
0.0,1.0,1195376.64,MBytes,9580000.0,Mbits/sec,0.016,0,827,0
1.0,2.0,1247805.44,MBytes,10000000.0,Mbits/sec,0.04,0,863,0
2.0,3.0,1247805.44,MBytes,10000000.0,Mbits/sec,0.014,0,863,0
3.0,4.0,1247805.44,MBytes,10000000.0,Mbits/sec,0.013,0,863,0
4.0,5.0,1247805.44,MBytes,10000000.0,Mbits/sec,0.022,0,864,0
5.0,6.0,1247805.44,MBytes,10000000.0,Mbits/sec,0.021,0,863,0
6.0,7.0,1247805.44,MBytes,10000000.0,Mbits/sec,0.016,0,863,0
7.0,8.0,1247805.44,MBytes,10000000.0,Mbits/sec,0.012,0,864,0
8.0,9.0,1247805.44,MBytes,10000000.0,Mbits/sec,0.016,0,863,0
9.0,10.0,1247805.44,MBytes,10000000.0,Mbits/sec,0.015,0,863,0
10.0,10.97,1205862.4,MBytes,10000000.0,Mbits/sec,0.015,0,834,0
0.0,10.97,13631488.0,MBytes,9960000.0,Mbits/sec,0.015,0,9430,0
